name;latitude;longitude;link
Myanmar [Burma];21.913965;95.956223;myanmar_[burma]
Mongolia;46.862496;103.846656;mongolia
Macau;22.198745;113.543873;macau
Northern Mariana Islands;17.33083;145.38469;northern_mariana_islands
Martinique;14.641528;-61.024174;martinique
Mauritania;21.00789;-10.940835;mauritania
Montserrat;16.742498;-62.187366;montserrat
Malta;35.937496;14.375416;malta
Mauritius;-20.348404;57.552152;mauritius
Maldives;3.202778;73.22068;maldives
Malawi;-13.254308;34.301525;malawi
Mexico;23.634501;-102.552784;mexico
Malaysia;4.210484;101.975766;malaysia
Mozambique;-18.665695;35.529562;mozambique
Namibia;-22.95764;18.49041;namibia
New Caledonia;-20.904305;165.618042;new_caledonia
Niger;17.607789;8.081666;niger
Norfolk Island;-29.040835;167.954712;norfolk_island
Nigeria;9.081999;8.675277;nigeria
Nicaragua;12.865416;-85.207229;nicaragua
Netherlands;52.132633;5.291266;netherlands
Norway;60.472024;8.468946;norway
Nepal;28.394857;84.124008;nepal
Nauru;-0.522778;166.931503;nauru
Niue;-19.054445;-169.867233;niue
New Zealand;-40.900557;174.885971;new_zealand
Oman;21.512583;55.923255;oman
Panama;8.537981;-80.782127;panama
Peru;-9.189967;-75.015152;peru
French Polynesia;-17.679742;-149.406843;french_polynesia
Papua New Guinea;-6.314993;143.95555;papua_new_guinea
Philippines;12.879721;121.774017;philippines
Pakistan;30.375321;69.345116;pakistan
Poland;51.919438;19.145136;poland
Saint Pierre and Miquelon;46.941936;-56.27111;saint_pierre_and_miquelon
Pitcairn Islands;-24.703615;-127.439308;pitcairn_islands
Puerto Rico;18.220833;-66.590149;puerto_rico
Palestinian Territories;31.952162;35.233154;palestinian_territories
Portugal;39.399872;-8.224454;portugal
Palau;7.51498;134.58252;palau
Paraguay;-23.442503;-58.443832;paraguay
Qatar;25.354826;51.183884;qatar
Réunion;-21.115141;55.536384;réunion
Romania;45.943161;24.96676;romania
Serbia;44.016521;21.005859;serbia
Russia;61.52401;105.318756;russia
Rwanda;-1.940278;29.873888;rwanda
Saudi Arabia;23.885942;45.079162;saudi_arabia
Solomon Islands;-9.64571;160.156194;solomon_islands
Seychelles;-4.679574;55.491977;seychelles
Sudan;12.862807;30.217636;sudan
Sweden;60.128161;18.643501;sweden
Singapore;1.352083;103.819836;singapore
Saint Helena;-24.143474;-10.030696;saint_helena
Slovenia;46.151241;14.995463;slovenia
Svalbard and Jan Mayen;77.553604;23.670272;svalbard_and_jan_mayen
Slovakia;48.669026;19.699024;slovakia
Sierra Leone;8.460555;-11.779889;sierra_leone
San Marino;43.94236;12.457777;san_marino
Senegal;14.497401;-14.452362;senegal
Somalia;5.152149;46.199616;somalia
Suriname;3.919305;-56.027783;suriname
São Tomé and Príncipe;0.18636;6.613081;são_tomé_and_príncipe
El Salvador;13.794185;-88.89653;el_salvador
Syria;34.802075;38.996815;syria
Swaziland;-26.522503;31.465866;swaziland
Turks and Caicos Islands;21.694025;-71.797928;turks_and_caicos_islands
Chad;15.454166;18.732207;chad
French Southern Territories;-49.280366;69.348557;french_southern_territories
Togo;8.619543;0.824782;togo
Thailand;15.870032;100.992541;thailand
Tajikistan;38.861034;71.276093;tajikistan
Tokelau;-8.967363;-171.855881;tokelau
Timor-Leste;-8.874217;125.727539;timor-leste
Turkmenistan;38.969719;59.556278;turkmenistan
Tunisia;33.886917;9.537499;tunisia
Tonga;-21.178986;-175.198242;tonga
Turkey;38.963745;35.243322;turkey
Trinidad and Tobago;10.691803;-61.222503;trinidad_and_tobago
Tuvalu;-7.109535;177.64933;tuvalu
Taiwan;23.69781;120.960515;taiwan
Tanzania;-6.369028;34.888822;tanzania
Ukraine;48.379433;31.16558;ukraine
Uganda;1.373333;32.290275;uganda
U.S. Minor Outlying Islands;;;u.s._minor_outlying_islands
United States;37.09024;-95.712891;united_states
Uruguay;-32.522779;-55.765835;uruguay
Uzbekistan;41.377491;64.585262;uzbekistan
Vatican City;41.902916;12.453389;vatican_city
Saint Vincent and the Grenadines;12.984305;-61.287228;saint_vincent_and_the_grenadines
Venezuela;6.42375;-66.58973;venezuela
British Virgin Islands;18.420695;-64.639968;british_virgin_islands
U.S. Virgin Islands;18.335765;-64.896335;u.s._virgin_islands
Vietnam;14.058324;108.277199;vietnam
Vanuatu;-15.376706;166.959158;vanuatu
Wallis and Futuna;-13.768752;-177.156097;wallis_and_futuna
Samoa;-13.759029;-172.104629;samoa
Kosovo;42.602636;20.902977;kosovo
Yemen;15.552727;48.516388;yemen
Mayotte;-12.8275;45.166244;mayotte
South Africa;-30.559482;22.937506;south_africa
Zambia;-13.133897;27.849332;zambia
Zimbabwe;-19.015438;29.154857;zimbabwe
